行业,公司,岗位,项目形式,项目时间,项目收获,人事系统,投递本家,入职要求,1-2个月售价,3个月售价,JD,备注,,,,,,,,
公共事业&NGO&国际组织,联合国教科文ICEE未来科技教育基地,数据分析-技术型,远程,1个月,企业邮箱推荐信+实习证明,是,支持,简历评估+面试（根据简历情况）,"9,000 ",每增加1月+2000,"ICEE：数据分析-技术型

1、全局的技术规划，非常明确的指引整个团队向同一个
方向努力
2、项目全局方法的统一、规范的制定和执行机制的完善
3、完备的基础构建、项目落地的规划等。",每增加1个月+2000成本,,,,,,,,
,,教育政策,远程,1个月,企业邮箱推荐信+实习证明,是,支持,简历评估+面试（根据简历情况）,"9,000 ",每增加1月+2000,"ICEE  教育政策

岗位描述：
1、跟踪教育行业相关政策最新动态，开展区域发展的相关性研究；
2、协助政府部门开展基准研究，参与项目调研，撰写项目研究报告；
3、完成导师分派的其他工作；
岗位要求：
1、本科学历以上，经济学、管理学、教育学等相关专业；
2、较强的逻辑思维和学习、沟通、协调及表达能力；
3、熟练操作ppt、word、excel等办公软件；
4、较强的工作责任心和敬业、踏实、团队合作精神、乐观精神。",,,,,,,,,
,,后端开发,远程,1个月,企业邮箱推荐信+实习证明,是,支持,简历评估+面试（根据简历情况）,"9,000 ",每增加1月+2000,"ICEE：后端开发

1、根据需求文档完成数据库及程序设计。
2、制定开发计划并能够分析解决软件开发过程中的问
题。
3、负责后端基础模块的开发和维护。
4、与前端工程师完成前后端功能联调。
5、系统功能测试、bug 修复。",,,,,,,,,
,,管理与政策,远程,1个月,企业邮箱推荐信+实习证明,是,支持,简历评估+面试（根据简历情况）,"9,000 ",每增加1月+2000,"ICEE  管理与政策

1、研究 AI 教育在海内外政策、发展情况与难点
2、研究 AI 教育在我国专科院校活贫苦地区的师资、
设备、教学情况
3、基于调研结果，分析 AI 如何更好的助力教育的方
式、并为 AI 教育国内发展提供策略支持。",,,,,,,,,
,,教研,远程,1个月,企业邮箱推荐信+实习证明,是,支持,简历评估+面试（根据简历情况）,"9,000 ",每增加1月+2000,"ICEE：教研
1、根据当下热度较高的议题，编辑专业文章
2、收集关于工程教育的社交媒体信息
3、编辑并发布相关文章，并监测文章数据，进行持续运营。",,,,,,,,,
,中国服务贸易协会国际交流工作委员会,活动策划,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"8,000 ",在基础上+1000,"1、负责外事活动、大型国际会议类活动策划文案的撰写、PPT制作，辅助撰写活动运营流程；
2、负责活动场地的规划、布置、搭建
3、基础设计制作；
4、英语专业优先；
","地址：北京市建国门外交公寓
1.  中服贸岗位亮点：
①直接参与大使馆文化活动，与大使面对面交流
②全面了解外事领域接待流程，一线学习国际贸易进出口政策
③可出席大使馆会议，承担接待官或主持工作
2. 导师亮点：
带教导师为中服贸管理层领导，或大使馆秘书",,,,,,,,
,,新媒体运营,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"8,000 ",在基础上+1000,"中服贸：新媒体运营

1、负责国内国际文化交流活动现场的拍摄工作，并将照片、视频进行整理保存；
2、独立运营微信公众号、小红书等新媒体账号，负责账号的日常运营和维护工作，包括日常内容编辑、发布、维护、管理等，提高影响力和关注度；
3、熟悉当下热门话题，及时了解最近行业发展趋势，并关注标杆性账号， 探索国家、国际类组织平台运营模式。",,,,,,,,,
,,市场策略分析,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"8,000 ",在基础上+1000,"1.负责协会合作的相关单位的项目的沟通和交流；
2.参与制订对外市场战略；
3.了解市场动态，具有市场敏锐性，进行潜在市场的研究与开发；
4. 领导安排的其他相关工作。",,,,,,,,,
,,政策与管理,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"8,000 ",在基础上+1000,"1．负责各国政策及项目的整理总结工作；
2．参与并负责团体及企业标准制定工作的实施；
3．完成协会业务范围内规划或咨询项目，并形成规划、咨询报告；
4．围绕文化艺术交流主要业务及相关企业出海等，开展长期调研及跟踪分析等；
5．完成领导交办的其相关工作。",,,,,,,,,
,,翻译,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"8,000 ",在基础上+1000,"1、负责按照导师的要求完成所分配的工作任务，包括：翻译、审校、质检等各种笔译。
2、认真完成参与的每一个项目任务，在保证质量的同时，需不断提高项目质量，持续提升自身翻译水平及技能。
3、认真切实完成协会安排的其他工作",,,,,,,,,
,中国红十字基金会—耀阳公益基金,市场实习生,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"7,000 ",不变,"1.负责协会合作的相关单位的项目的沟通和交流；
2.参与制订对外市场战略；
3.了解市场动态，具有市场敏锐性，进行潜在市场的研究与开发；
5. 领导安排的其他相关工作。",,,,,,,,,
,,管理与政策（公益教育方向）,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"7,000 ",不变,"1、公益事业调研项目的设计、实施、数据分析及报告撰写;
2、研究项目实施，志愿者服务规划
3、外部(研究机构、专家学者)资源开拓与合作;
4、政策分析与行业分析;
5、公共政策、热点事件响应及评论文章撰写。",,,,,,,,,
,中国宋庆龄基金会,市场实习生,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"7,000 ",不变,"1.负责协会合作的相关单位的项目的沟通和交流；
2.参与制订对外市场战略；
3.了解市场动态，具有市场敏锐性，进行潜在市场的研究与开发；
4. 领导安排的其他相关工作。",,,,,,,,,
,,政策与管理,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"7,000 ",不变,"1、调研项目的设计、实施、数据分析及报告撰写;
2、研究项目实施，志愿者服务规划
3、外部(研究机构、专家学者)资源开拓与合作;
4、政策分析与行业分析;
5、公共政策、热点事件响应及评论文章撰写。",,,,,,,,,
,国际人工智能协会,外联实习生,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"7,000 ",不变,"1. 项目联络支持

协助维护与国内外高校、研究机构、商会、企业等合作方的沟通，推动AI培训、研修营、会议等项目对接落地。

协助撰写外联邮件、公文及合作方案初稿。

2. 资源关系维护

更新和维护协会的外联联系人数据库，协助安排会议、线上线下活动等。

参与部分外联洽谈会议，整理纪要，跟踪进展。

3. 品牌传播协助

协助策划、执行对外传播活动，如AI主题沙龙、国际交流项目、竞赛对接等。

收集外部合作单位新闻动态和潜在机会，提交定期简报。

4. 跨部门协调

与项目部、运营部、技术组协调，确保外联信息在团队内部顺畅传递。

协助完成上级交办的其他任务。

---

【任职要求】

本科或研究生在读，专业不限，新闻传播、国际关系、人工智能、语言类优先；

良好的中英文沟通与写作能力（能独立起草中英文信函）；

具备基本项目管理意识和多任务处理能力；

责任心强、做事细致，学习能力强；

熟练使用办公软件（Word、Excel、PPT）及在线协作工具（如Notion、Trello、Zoom）；

对AI技术与国际事务有兴趣者优先；

有海外学习/交流经历者优先。

---

【你将获得】

深度参与多个中外AI合作项目；

接触来自清华、北大、哥伦比亚大学、斯坦福、联合国机构等背景的专业资源；

获得协会理事会成员直接指导与推荐信机会；",,,,,,,,,
,,政策与管理,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"7,000 ",不变,"1、国际人工智能相关调研项目的设计、实施、数据分析及报告撰写;
2、研究项目实施，志愿者服务规划
3、外部(研究机构、专家学者)资源开拓与合作;
4、政策分析与行业分析;
5、公共政策、热点事件响应及评论文章撰写。",,,,,,,,,
,上海长三角商创院,政策与管理,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"7,000 ",不变,"""1.协助研究和分析与非营利组织运营相关的政策法规，协助整理撰写组织的文件，为管理层提供政策建议支持；
2.部分协助管理流程的优化工作，包括数据收集和分析，以提高项目效率和效果；
3.协助编制各类政策报告和内部指南，为组织的运营与项目执行提供支持；
4.从基本概况、发展逻辑、发展困难，未来发展等各方面了解议题，并进行资料分析。""",,,,,,,,,
,,论坛活动,远程,,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"7,000 ",不变,"1. 协助研究院在大型论坛/活动项目策划、跟踪对接具体流程跟进；
2. 围绕大型论坛/活动项目，与商创院之间建立良好的机制建设；
3. 配合大型论坛/活动所需资源，梳理与重要合作伙伴的工作关系；
4. 积极收集和研究各大型论坛/活动的发展情况，就行业生态提供分析报告，支持大型论坛/活动筹备工作。
5. 做好重大论坛/活动在可持续传播的战略影响力；
6. 运用ai工具，协助项目的组织与执行工作；
7. 支持配合安排的其他相关工作。",,,,,,,,,
,地球宪章,政策研究,远程,1-3个月,企业邮箱推荐信+实习证明,无系统,支持,简历审核+面试,"12,000 ",不变,"地球宪章：政策研究
协助跟踪国内外可持续发展、生态保护、社会治理等领域政策动态，整理政策简
报；
参与区域可持续发展案例调研，协助撰写研究报告或政策建议；
支持国际政策对话项目，如文献翻译、会议筹备与纪要整理。
具体方向如下：
方向 1：ESG 方向
方向 2：AI 与大模型方向
方向 3：传统文化与历史学方向
方向 4：产业研究方向
方向 5：低空经济方向
方向 6：数字经济方向
方向 7：艺术管理方向
方向 8：教育学方向
方向 9：理工科与地球宪章理念结合
方向 10：翻译方向
方向 11：社会学方向""",,,,,,,,,
